method,impl,k,photon_count,selection_seed,noise_seed,psnr,ssim,hfen
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,3,25.445251,0.410303,11.967795
greedy_adam_composite,greedy_adam_composite,40,10000.0,1,4,25.447056,0.410406,11.961472
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,0,24.377568,0.332335,10.931236
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,1,24.375478,0.332351,10.935474
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,2,24.376275,0.332435,10.93455
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,3,24.376175,0.332506,10.931675
greedy_adam_composite,greedy_adam_composite,80,10000.0,1,4,24.375254,0.332439,10.939799
vcls,vcls,40,10000.0,2,0,24.904078,0.397459,12.758776
vcls,vcls,40,10000.0,2,1,24.905103,0.397404,12.753827
vcls,vcls,40,10000.0,2,2,24.905023,0.397488,12.755404
vcls,vcls,40,10000.0,2,3,24.903436,0.397428,12.759228
vcls,vcls,40,10000.0,2,4,24.905202,0.397394,12.754796
vcls,vcls,80,10000.0,2,0,24.453093,0.329173,10.759479
vcls,vcls,80,10000.0,2,1,24.45458,0.329246,10.75771
vcls,vcls,80,10000.0,2,2,24.452607,0.329013,10.762351
vcls,vcls,80,10000.0,2,3,24.454161,0.329235,10.763424
vcls,vcls,80,10000.0,2,4,24.453625,0.329101,10.760143
greedy_discrete,greedy_discrete,40,10000.0,2,0,25.151429,0.404601,12.819242
greedy_discrete,greedy_discrete,40,10000.0,2,1,25.152774,0.404665,12.821167
greedy_discrete,greedy_discrete,40,10000.0,2,2,25.151514,0.404747,12.817018
greedy_discrete,greedy_discrete,40,10000.0,2,3,25.155922,0.40472,12.811126
greedy_discrete,greedy_discrete,40,10000.0,2,4,25.153301,0.404643,12.812178
greedy_discrete,greedy_discrete,80,10000.0,2,0,24.341609,0.332819,11.682872
greedy_discrete,greedy_discrete,80,10000.0,2,1,24.342046,0.332796,11.68256
greedy_discrete,greedy_discrete,80,10000.0,2,2,24.343448,0.332753,11.671951
greedy_discrete,greedy_discrete,80,10000.0,2,3,24.3461,0.332809,11.670036
greedy_discrete,greedy_discrete,80,10000.0,2,4,24.341048,0.332736,11.680717
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,0,25.054845,0.405551,13.143919
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,1,25.056995,0.405559,13.133679
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,2,25.058685,0.405509,13.130973
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,3,25.057286,0.405461,13.133532
greedy_adam_bundle,greedy_adam_bundle,40,10000.0,2,4,25.057154,0.405517,13.135921
greedy_adam_bundle,greedy_adam_bundle,80,10000.0,2,0,24.215967,0.333893,11.921146
