view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
389,287.2270,28.8945,833.4272,258.4196,481.5760
390,83.0476,13.9563,-960.1099,117.0766,240.3728
391,98.0391,19.4453,-930.5584,-131.4287,331.7898
392,221.9776,-25.5794,601.2598,-668.2924,-430.3124
393,287.3097,27.9128,840.8080,262.0395,466.5556
394,17.2255,-21.0978,-275.3546,888.1291,-358.7525
395,351.1208,-25.6625,138.6599,887.5690,-431.6151
396,126.1010,-0.8551,-805.1776,-587.1666,-14.8740
397,304.2507,-28.6237,723.1262,492.3714,-477.4471
398,287.2095,27.6273,843.4758,261.2519,462.1613
399,102.2216,17.0040,-931.4734,-201.7601,291.4566
