step,coverage,mean_tau_bar
3.400000000000000000e+01,8.786095976829528809e-01,2.067233026027679443e-01
3.500000000000000000e+01,8.778709173202514648e-01,2.047368884086608887e-01
3.600000000000000000e+01,8.773273825645446777e-01,2.059352099895477295e-01
3.700000000000000000e+01,8.768547773361206055e-01,2.054861932992935181e-01
3.800000000000000000e+01,8.768054246902465820e-01,2.051215469837188721e-01
3.900000000000000000e+01,8.759840130805969238e-01,2.028621882200241089e-01
4.000000000000000000e+01,8.763853311538696289e-01,2.020335495471954346e-01
4.100000000000000000e+01,8.770962953567504883e-01,1.994174569845199585e-01
4.200000000000000000e+01,8.770683407783508301e-01,2.003121972084045410e-01
4.300000000000000000e+01,8.758377432823181152e-01,2.037637978792190552e-01
4.400000000000000000e+01,8.729912638664245605e-01,2.018991857767105103e-01
4.500000000000000000e+01,8.701514005661010742e-01,2.027076482772827148e-01
4.600000000000000000e+01,8.685480952262878418e-01,2.018120735883712769e-01
4.700000000000000000e+01,8.687761425971984863e-01,2.011534869670867920e-01
4.800000000000000000e+01,8.691269755363464355e-01,2.011481076478958130e-01
4.900000000000000000e+01,8.700075149536132812e-01,2.025278061628341675e-01
5.000000000000000000e+01,8.717668056488037109e-01,2.022752761840820312e-01
5.100000000000000000e+01,8.745579123497009277e-01,2.006579935550689697e-01
5.200000000000000000e+01,8.737779259681701660e-01,1.972940266132354736e-01
5.300000000000000000e+01,8.710296750068664551e-01,1.978143900632858276e-01
5.400000000000000000e+01,8.703296184539794922e-01,1.992919743061065674e-01
5.500000000000000000e+01,8.714585304260253906e-01,1.977746486663818359e-01
5.600000000000000000e+01,8.717495799064636230e-01,1.970438957214355469e-01
5.700000000000000000e+01,8.725538849830627441e-01,1.971644610166549683e-01
5.800000000000000000e+01,8.737154006958007812e-01,1.957108527421951294e-01
5.900000000000000000e+01,8.744026422500610352e-01,1.961623132228851318e-01
6.000000000000000000e+01,8.736252188682556152e-01,1.965544670820236206e-01
6.100000000000000000e+01,8.740216493606567383e-01,1.962406337261199951e-01
6.200000000000000000e+01,8.748278021812438965e-01,1.962808817625045776e-01
6.300000000000000000e+01,8.756247758865356445e-01,1.947404295206069946e-01
6.400000000000000000e+01,8.758730888366699219e-01,1.916900575160980225e-01
6.500000000000000000e+01,8.736224770545959473e-01,1.898181140422821045e-01
6.600000000000000000e+01,8.729158043861389160e-01,1.891995519399642944e-01
6.700000000000000000e+01,8.735576272010803223e-01,1.885699480772018433e-01
6.800000000000000000e+01,8.718261122703552246e-01,1.883982867002487183e-01
6.900000000000000000e+01,8.708468079566955566e-01,1.922425180673599243e-01
7.000000000000000000e+01,8.720704913139343262e-01,1.910308152437210083e-01
7.100000000000000000e+01,8.749049305915832520e-01,1.920945644378662109e-01
7.200000000000000000e+01,8.775766491889953613e-01,1.931443214416503906e-01
7.300000000000000000e+01,8.797208666801452637e-01,1.906487643718719482e-01
7.400000000000000000e+01,8.802139163017272949e-01,1.885536313056945801e-01
7.500000000000000000e+01,8.798058032989501953e-01,1.929596215486526489e-01
7.600000000000000000e+01,8.793393373489379883e-01,1.927931606769561768e-01
7.700000000000000000e+01,8.806540966033935547e-01,1.898952871561050415e-01
7.800000000000000000e+01,8.829649090766906738e-01,1.898249536752700806e-01
7.900000000000000000e+01,8.851180076599121094e-01,1.886111646890640259e-01
8.000000000000000000e+01,8.859635591506958008e-01,1.864752471446990967e-01
8.100000000000000000e+01,8.859356045722961426e-01,1.871114373207092285e-01
8.200000000000000000e+01,8.846798539161682129e-01,1.869673132896423340e-01
8.300000000000000000e+01,8.844341039657592773e-01,1.866392493247985840e-01
8.400000000000000000e+01,8.853296041488647461e-01,1.852649301290512085e-01
8.500000000000000000e+01,8.853559494018554688e-01,1.847764551639556885e-01
8.600000000000000000e+01,8.848394751548767090e-01,1.859946846961975098e-01
8.700000000000000000e+01,8.847288489341735840e-01,1.853362023830413818e-01
8.800000000000000000e+01,8.845535516738891602e-01,1.856062114238739014e-01
8.900000000000000000e+01,8.833847045898437500e-01,1.859201043844223022e-01
9.000000000000000000e+01,8.816925883293151855e-01,1.852833330631256104e-01
9.100000000000000000e+01,8.802291750907897949e-01,1.827266961336135864e-01
9.200000000000000000e+01,8.782926201820373535e-01,1.862467676401138306e-01
9.300000000000000000e+01,8.764320015907287598e-01,1.837967038154602051e-01
9.400000000000000000e+01,8.760313391685485840e-01,1.852614134550094604e-01
9.500000000000000000e+01,8.759864568710327148e-01,1.863032430410385132e-01
9.600000000000000000e+01,8.757838010787963867e-01,1.850646585226058960e-01
9.700000000000000000e+01,8.742811679840087891e-01,1.856255829334259033e-01
9.800000000000000000e+01,8.735460638999938965e-01,1.867494583129882812e-01
9.900000000000000000e+01,8.729568719863891602e-01,1.880214661359786987e-01
1.000000000000000000e+02,8.720771670341491699e-01,1.892928630113601685e-01
1.010000000000000000e+02,8.705626726150512695e-01,1.882102191448211670e-01
1.020000000000000000e+02,8.689602017402648926e-01,1.872483342885971069e-01
1.030000000000000000e+02,8.689502477645874023e-01,1.897782683372497559e-01
1.040000000000000000e+02,8.693980574607849121e-01,1.906465739011764526e-01
1.050000000000000000e+02,8.718149065971374512e-01,1.871625632047653198e-01
1.060000000000000000e+02,8.732239603996276855e-01,1.864910870790481567e-01
1.070000000000000000e+02,8.711109161376953125e-01,1.884788870811462402e-01
1.080000000000000000e+02,8.710400462150573730e-01,1.897717118263244629e-01
1.090000000000000000e+02,8.739631772041320801e-01,1.919998079538345337e-01
1.100000000000000000e+02,8.761600852012634277e-01,1.883369982242584229e-01
1.110000000000000000e+02,8.762508630752563477e-01,1.886800974607467651e-01
1.120000000000000000e+02,8.735132813453674316e-01,1.882118135690689087e-01
1.130000000000000000e+02,8.718667626380920410e-01,1.874437034130096436e-01
1.140000000000000000e+02,8.723642826080322266e-01,1.856020539999008179e-01
1.150000000000000000e+02,8.710420727729797363e-01,1.846490502357482910e-01
1.160000000000000000e+02,8.682518005371093750e-01,1.844404935836791992e-01
1.170000000000000000e+02,8.659092783927917480e-01,1.829830110073089600e-01
1.180000000000000000e+02,8.647398352622985840e-01,1.833052933216094971e-01
1.190000000000000000e+02,8.647739291191101074e-01,1.837147921323776245e-01
1.200000000000000000e+02,8.657101392745971680e-01,1.849470734596252441e-01
1.210000000000000000e+02,8.669382333755493164e-01,1.843106746673583984e-01
1.220000000000000000e+02,8.679710030555725098e-01,1.842193901538848877e-01
1.230000000000000000e+02,8.696486949920654297e-01,1.850878745317459106e-01
1.240000000000000000e+02,8.711951971054077148e-01,1.854699105024337769e-01
1.250000000000000000e+02,8.739450573921203613e-01,1.859340816736221313e-01
1.260000000000000000e+02,8.763846755027770996e-01,1.854122877120971680e-01
1.270000000000000000e+02,8.769836425781250000e-01,1.868405640125274658e-01
1.280000000000000000e+02,8.775853514671325684e-01,1.886818259954452515e-01
1.290000000000000000e+02,8.792826533317565918e-01,1.862190961837768555e-01
1.300000000000000000e+02,8.806151151657104492e-01,1.863408833742141724e-01
1.310000000000000000e+02,8.816905021667480469e-01,1.859517991542816162e-01
1.320000000000000000e+02,8.792055845260620117e-01,1.858073621988296509e-01
1.330000000000000000e+02,8.767107725143432617e-01,1.863027513027191162e-01
1.340000000000000000e+02,8.758356571197509766e-01,1.859920620918273926e-01
1.350000000000000000e+02,8.759560585021972656e-01,1.834056824445724487e-01
1.360000000000000000e+02,8.755874037742614746e-01,1.820517629384994507e-01
1.370000000000000000e+02,8.751375675201416016e-01,1.818886697292327881e-01
1.380000000000000000e+02,8.751146197319030762e-01,1.843288540840148926e-01
1.390000000000000000e+02,8.744684457778930664e-01,1.850228607654571533e-01
1.400000000000000000e+02,8.739962577819824219e-01,1.817570775747299194e-01
1.410000000000000000e+02,8.737705945968627930e-01,1.825211048126220703e-01
1.420000000000000000e+02,8.735886216163635254e-01,1.824696809053421021e-01
1.430000000000000000e+02,8.734514117240905762e-01,1.800710260868072510e-01
1.440000000000000000e+02,8.738223314285278320e-01,1.810849457979202271e-01
1.450000000000000000e+02,8.744000196456909180e-01,1.813890784978866577e-01
1.460000000000000000e+02,8.742895126342773438e-01,1.822717487812042236e-01
1.470000000000000000e+02,8.752825260162353516e-01,1.828280240297317505e-01
1.480000000000000000e+02,8.776445388793945312e-01,1.821167469024658203e-01
1.490000000000000000e+02,8.792540431022644043e-01,1.830740571022033691e-01
