view,theta_deg,phi_deg,src_x_mm,src_y_mm,src_z_mm
348,140.6396,-9.7169,-623.2657,-759.8467,-168.2847
349,314.3810,10.1849,701.3810,686.3871,176.3078
350,93.0330,-15.1833,-960.9166,-50.9150,-261.1398
351,341.5637,10.9151,309.6193,928.7830,188.7990
352,299.3992,-22.4584,802.7850,452.3321,-380.8923
353,204.6320,18.7416,393.5323,-858.2827,320.3595
354,206.4604,-7.5110,440.4612,-884.9600,-130.3332
355,21.6328,23.1125,-338.0739,852.4490,391.3871
356,25.5304,7.6303,-425.9214,891.7458,132.3905
357,350.9025,-12.0648,154.1699,962.7805,-208.4044
358,322.2184,25.2376,552.5495,712.8153,425.1238
359,175.1097,2.4268,-84.9217,-992.5488,42.2183
360,104.5077,-20.8706,-901.9424,-233.3870,-355.2148
361,184.6638,-10.1777,79.7954,-978.1305,-176.1830
362,52.4059,-11.3564,-774.5626,596.3664,-196.3338
363,170.8175,-6.4778,-158.0966,-978.0076,-112.4882
364,357.7725,-16.0158,37.2490,957.6444,-275.0941
365,175.9510,-7.7340,-69.7627,-985.5333,-134.1799
366,322.6441,-17.1489,578.0897,757.3164,-293.9918
367,306.8934,20.0259,749.1968,562.3780,341.4412
368,78.5614,-21.7033,-907.9877,183.7198,-368.7172
369,68.5479,20.0304,-871.8624,342.5945,341.5145
370,243.0292,-13.4919,864.1021,-439.7281,-232.6236
371,206.8686,-18.8148,426.5422,-841.9052,-321.5655
372,339.6492,-7.3900,343.8673,927.0681,-128.2461
373,20.6255,-16.6133,-336.5648,894.2061,-285.0733
374,80.5638,16.5237,-942.9581,156.7182,283.5781
375,4.8801,-4.9174,-84.5100,989.7981,-85.4684
376,62.0397,-18.3023,-836.1323,443.8374,-313.1105
377,358.7268,-17.3110,21.1503,951.6705,-296.6867
378,57.8693,13.6293,-820.5785,515.3608,234.9493
379,135.5239,-23.8866,-638.7265,-650.5144,-403.7405
380,18.2778,24.0380,-285.5854,864.6565,406.1492
381,120.2249,-7.3123,-854.5173,-497.8378,-126.9047
382,230.3141,15.0274,741.0611,-614.9330,258.5204
383,267.1734,-11.1439,977.0792,-48.2410,-192.7077
384,319.4988,4.8389,645.2523,755.4618,84.1074
385,353.9947,8.2776,103.2268,981.2672,143.5480
386,56.4555,13.9849,-806.3830,534.6335,240.9573
